rank,score_lower_bound,targetability_score,score_upper_bound,gross,penalty_total,problem_id,canonical_group_id,title,source,domain,difficulty_level,impact_score,claim_kind,route,eligibility_status,resolution_leverage,statement_status_confidence,certificate_verifier_readiness,search_compressibility,boundary_leverage,feedback_quality,local_reuse
1,68,73,78,84,11,unsolvedmath-opg-1757,unsolvedmath:unsolvedmath-opg-1757,Negative association in uniform forests,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,new_strategy_only,20,15,15,16,9,4,5
2,64,69,74,84,15,unsolvedmath-opg-729,unsolvedmath:unsolvedmath-opg-729,Seagull problem,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,15,16,9,4,5
3,64,69,74,80,11,unsolvedmath-opg-404,unsolvedmath:unsolvedmath-opg-404,Concavity of van der Waerden numbers,UnsolvedMath,combinatorics,1,20,universal_claim,counterexample,new_strategy_only,20,15,17,16,3,4,5
4,63,68,73,86,18,unsolvedmath-opg-60039,unsolvedmath:unsolvedmath-opg-60039,Sidorenko's Conjecture,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,15,16,9,6,5
5,62,67,72,78,11,unsolvedmath-kou-21.87,unsolvedmath:unsolvedmath-kou-21.87,Kourovka Notebook Problem 21.87,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,new_strategy_only,12,15,17,16,9,4,5
6,61,66,71,81,15,unsolvedmath-opg-48264,unsolvedmath:unsolvedmath-opg-48264,Signing a graph to have small magnitude eigenvalues,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,new_strategy_only,12,15,18,16,9,6,5
7,60,65,70,78,13,unsolvedmath-kou-21.135,unsolvedmath:unsolvedmath-kou-21.135,Kourovka Notebook Problem 21.135,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,16,14,3,5,5
8,59,64,69,83,19,unsolvedmath-opg-171,unsolvedmath:unsolvedmath-opg-171,Strong colorability,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,18,16,3,6,5
9,59,64,69,81,17,unsolvedmath-opg-56230,unsolvedmath:unsolvedmath-opg-56230,2-colouring a graph without a monochromatic maximum clique,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,new_strategy_only,20,15,16,14,3,8,5
10,58,65,72,68,3,unsolvedmath-opg-611,unsolvedmath:unsolvedmath-opg-611,The Bermond-Thomassen Conjecture,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,10,16,1,6,2
11,58,63,68,76,13,unsolvedmath-opg-412,unsolvedmath:unsolvedmath-opg-412,Mapping planar graphs to odd cycles,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,new_strategy_only,12,15,15,16,9,4,5
12,57,64,71,67,3,unsolvedmath-opg-348,unsolvedmath:unsolvedmath-opg-348,Half-integral flow polynomial values,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,9,18,1,4,2
13,57,62,67,77,15,unsolvedmath-opg-46584,unsolvedmath:unsolvedmath-opg-46584,Decomposing an eulerian graph into cycles.,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,5,5
14,57,62,67,76,14,unsolvedmath-opg-59976,unsolvedmath:unsolvedmath-opg-59976,Are all Mersenne Numbers with prime exponent square-free?,UnsolvedMath,number_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,4,5
15,57,62,67,76,14,unsolvedmath-opg-37413,unsolvedmath:unsolvedmath-opg-37413,Alexa's Conjecture on Primality,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,new_strategy_only,20,15,15,14,3,4,5
16,56,61,66,78,17,unsolvedmath-opg-563,unsolvedmath:unsolvedmath-opg-563,Davenport's constant,UnsolvedMath,number_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,6,5
17,56,61,66,77,16,unsolvedmath-opg-46583,unsolvedmath:unsolvedmath-opg-46583,Decomposing a connected graph into paths.,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,5,5
