problem_id,title,source,domain,collection,priority,stage,status,statement_hash,metadata,created_at,updated_at,available_at,attempt_count,last_attempt_id,lease_owner,lease_token,lease_expires_at,heartbeat_at,last_error,last_result
unsolvedmath-guy-a10,Gilbreath's Conjecture,UnsolvedMath,number_theory,first-batch-20,9999.0,G2,completed,47fa10647bbb4051e943d7544ca84a5fb0747f7e1291ae21c273d1124270335d,"{""baseline_claim_kind"":""universal_claim"",""baseline_outcome"":""no_counterexample_within_bound"",""baseline_status"":""bounded_search_no_counterexample"",""batch"":1,""batch_rank"":1,""catalog_record_fingerprint"":""dad8790e39120a3bf8039ec296bdee296cd8878e50d0f070400cff418cf2ed7b"",""difficulty_level"":3,""search_config_fingerprint"":""c89b283e860f32720219900290d6ef5b989da70d8e4fd27c6713e12a148c5148"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""selected"":true,""sets"":[{""name"":""Richard Guy - A: Prime Numbers"",""set_id"":9}],""source_id"":""GUY-A10"",""source_url"":""https://www.unsolvedmath.com/problems/GUY-A10""}",2026-07-27T00:30:16.662481Z,2026-07-27T00:54:44.602703Z,2026-07-27T00:47:06.217920Z,2,21,,2,,,,"{""attempt_artifact"":""/home/biostar/work/amra/data/research_open/unsolvedmath_counterexample_campaign/attempts/unsolvedmath-guy-a10/attempt-000021.json"",""candidate_counterexample"":null,""duration_seconds"":0.277292,""evidence_level"":""scoped_null_result"",""execution"":{""bounds"":{""prime_terms"":5000},""candidate"":null,""checked_cases"":4999,""deterministic"":true,""executor_id"":""classical.gilbreath_difference_scan.v1"",""notes"":[],""outcome"":""no_counterexample_within_bound"",""replayable"":true,""search_template"":""gilbreath"",""status"":""completed"",""unresolved_cases"":0},""generated_at"":""2026-07-27T00:48:07+00:00"",""independently_verified"":false,""model_contract"":""Repeated prime differences have first entry 1 in every generated row."",""outcome"":""no_counterexample_within_bound"",""problem_id"":""unsolvedmath-guy-a10"",""schema_version"":""amra.counterexample_first_batch.v2"",""search_config_fingerprint"":""c89b283e860f32720219900290d6ef5b989da70d8e4fd27c6713e12a148c5148"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""source_id"":""GUY-A10"",""statement_hash"":""47fa10647bbb4051e943d7544ca84a5fb0747f7e1291ae21c273d1124270335d"",""title"":""Gilbreath's Conjecture"",""verification_boundary"":""A candidate requires an independent verifier and a source-statement audit. No candidate within the recorded finite scope does not prove the conjecture.""}"
unsolvedmath-nt-002,Collatz Conjecture,UnsolvedMath,number_theory,first-batch-20,9998.0,G2,completed,24991ea2c85d2a57898ae1f065ced0ca18cd23e6d6a3e2a4836c24dabe0bde37,"{""baseline_claim_kind"":""universal_claim"",""baseline_outcome"":""no_counterexample_within_bound"",""baseline_status"":""bounded_search_no_counterexample"",""batch"":1,""batch_rank"":2,""catalog_record_fingerprint"":""6a7ada9451f5a1454d94d357bb5a316792d8abd5063f7c275cac2733a5040ef5"",""difficulty_level"":4,""search_config_fingerprint"":""70a645ae8960881e2c570bc91f8f360812fce3736a373096e15a64ba655e11e1"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""selected"":true,""sets"":[],""source_id"":""NT-002"",""source_url"":""https://www.unsolvedmath.com/problems/NT-002""}",2026-07-27T00:30:21.252838Z,2026-07-27T00:54:50.430308Z,2026-07-27T00:47:10.479571Z,2,22,,2,,,,"{""attempt_artifact"":""/home/biostar/work/amra/data/research_open/unsolvedmath_counterexample_campaign/attempts/unsolvedmath-nt-002/attempt-000022.json"",""candidate_counterexample"":null,""duration_seconds"":0.865571,""evidence_level"":""scoped_null_result"",""execution"":{""bounds"":{""max_start"":1000000,""max_steps_per_start"":20000},""candidate"":null,""checked_cases"":1000000,""deterministic"":true,""executor_id"":""classical.collatz_cycle_scan.v1"",""notes"":[""Maximum intermediate value observed: 56991483520.""],""outcome"":""no_counterexample_within_bound"",""replayable"":true,""search_template"":""collatz"",""status"":""completed"",""unresolved_cases"":0},""generated_at"":""2026-07-27T00:48:09+00:00"",""independently_verified"":false,""model_contract"":""A finite refutation is a nontrivial exact cycle; a step timeout is unknown."",""outcome"":""no_counterexample_within_bound"",""problem_id"":""unsolvedmath-nt-002"",""schema_version"":""amra.counterexample_first_batch.v2"",""search_config_fingerprint"":""70a645ae8960881e2c570bc91f8f360812fce3736a373096e15a64ba655e11e1"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""source_id"":""NT-002"",""statement_hash"":""24991ea2c85d2a57898ae1f065ced0ca18cd23e6d6a3e2a4836c24dabe0bde37"",""title"":""Collatz Conjecture"",""verification_boundary"":""A candidate requires an independent verifier and a source-statement audit. No candidate within the recorded finite scope does not prove the conjecture.""}"
unsolvedmath-nt-006,Legendre's Conjecture,UnsolvedMath,number_theory,first-batch-20,9997.0,G2,completed,35bc339dc1c96f6cb6bea4023074712d287d4c198575830d987a56b41c5ae807,"{""baseline_claim_kind"":""mixed_quantifiers"",""baseline_outcome"":""no_counterexample_within_bound"",""baseline_status"":""bounded_search_no_counterexample"",""batch"":1,""batch_rank"":3,""catalog_record_fingerprint"":""8fb09d29a51354c25a76c882fba876e9c1f23c04223f435e0d9b7082b26bb072"",""difficulty_level"":3,""search_config_fingerprint"":""c528e3fc261ded3592492b2777c462531700e2f91c458c95b3b593e75e94c862"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""selected"":true,""sets"":[],""source_id"":""NT-006"",""source_url"":""https://www.unsolvedmath.com/problems/NT-006""}",2026-07-27T00:30:21.268494Z,2026-07-27T00:54:50.451686Z,2026-07-27T00:47:10.494560Z,2,23,,2,,,,"{""attempt_artifact"":""/home/biostar/work/amra/data/research_open/unsolvedmath_counterexample_campaign/attempts/unsolvedmath-nt-006/attempt-000023.json"",""candidate_counterexample"":null,""duration_seconds"":0.0722,""evidence_level"":""scoped_null_result"",""execution"":{""bounds"":{""max_n"":5000,""min_n"":1,""strict_intervals"":true},""candidate"":null,""checked_cases"":5000,""deterministic"":true,""executor_id"":""classical.legendre_interval_scan.v1"",""notes"":[],""outcome"":""no_counterexample_within_bound"",""replayable"":true,""search_template"":""legendre"",""status"":""completed"",""unresolved_cases"":0},""generated_at"":""2026-07-27T00:48:13+00:00"",""independently_verified"":false,""model_contract"":""Find n whose open interval (n^2,(n+1)^2) contains no prime."",""outcome"":""no_counterexample_within_bound"",""problem_id"":""unsolvedmath-nt-006"",""schema_version"":""amra.counterexample_first_batch.v2"",""search_config_fingerprint"":""c528e3fc261ded3592492b2777c462531700e2f91c458c95b3b593e75e94c862"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""source_id"":""NT-006"",""statement_hash"":""35bc339dc1c96f6cb6bea4023074712d287d4c198575830d987a56b41c5ae807"",""title"":""Legendre's Conjecture"",""verification_boundary"":""A candidate requires an independent verifier and a source-statement audit. No candidate within the recorded finite scope does not prove the conjecture.""}"
unsolvedmath-opg-2108,Frankl's union-closed sets conjecture,UnsolvedMath,graph_theory,first-batch-20,9996.0,G2,completed,a92c9cd469e1666c8c60b4c25b04a7a972663a5bf849d387470b7d116f2bd445,"{""baseline_claim_kind"":""mixed_quantifiers"",""baseline_outcome"":""no_counterexample_within_bound"",""baseline_status"":""bounded_search_no_counterexample"",""batch"":1,""batch_rank"":4,""catalog_record_fingerprint"":""d18df91f588ac9dfa43d74821b1c9ee38b04746cf256b81f521b1a11c0a8f675"",""difficulty_level"":1,""search_config_fingerprint"":""f8a31bbd7e31bb9e16d502cf6779e31c20012ba867b9c31a5edaed961c707ab9"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""selected"":true,""sets"":[{""name"":""OpenGarden"",""set_id"":12}],""source_id"":""OPG-2108"",""source_url"":""https://www.unsolvedmath.com/problems/OPG-2108""}",2026-07-27T00:30:22.347408Z,2026-07-27T00:54:51.825765Z,2026-07-27T00:47:11.513595Z,2,24,,2,,,,"{""attempt_artifact"":""/home/biostar/work/amra/data/research_open/unsolvedmath_counterexample_campaign/attempts/unsolvedmath-opg-2108/attempt-000024.json"",""candidate_counterexample"":null,""duration_seconds"":0.086774,""evidence_level"":""scoped_null_result"",""execution"":{""bounds"":{""candidate_families"":65535,""universe_size"":4},""candidate"":null,""checked_cases"":4958,""deterministic"":true,""executor_id"":""classical.union_closed_family_scan.v1"",""notes"":[],""outcome"":""no_counterexample_within_bound"",""replayable"":true,""search_template"":""union_closed"",""status"":""completed"",""unresolved_cases"":0},""generated_at"":""2026-07-27T00:48:18+00:00"",""independently_verified"":false,""model_contract"":""Find a nonempty union-closed finite family in which every element occurs in fewer than half of the members."",""outcome"":""no_counterexample_within_bound"",""problem_id"":""unsolvedmath-opg-2108"",""schema_version"":""amra.counterexample_first_batch.v2"",""search_config_fingerprint"":""f8a31bbd7e31bb9e16d502cf6779e31c20012ba867b9c31a5edaed961c707ab9"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""source_id"":""OPG-2108"",""statement_hash"":""a92c9cd469e1666c8c60b4c25b04a7a972663a5bf849d387470b7d116f2bd445"",""title"":""Frankl's union-closed sets conjecture"",""verification_boundary"":""A candidate requires an independent verifier and a source-statement audit. No candidate within the recorded finite scope does not prove the conjecture.""}"
unsolvedmath-opg-37397,Erdős–Straus conjecture,UnsolvedMath,number_theory,first-batch-20,9995.0,G2,completed,d1ea9d60f2d07319146cae5f2893907fec53fd3cc67fd284faea3d606318be4d,"{""baseline_claim_kind"":""mixed_quantifiers"",""baseline_outcome"":""no_counterexample_within_bound"",""baseline_status"":""bounded_search_no_counterexample"",""batch"":1,""batch_rank"":5,""catalog_record_fingerprint"":""0522509cea7110bd86f52a0faa5c9a25ca5c0a0b3fadeef588971482c921c560"",""difficulty_level"":1,""search_config_fingerprint"":""168a3ed0a58baa57945d5d9cc65dd274f2b31a1e7b54cc99f54f98347a50fb3c"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""selected"":true,""sets"":[{""name"":""OpenGarden"",""set_id"":12}],""source_id"":""OPG-37397"",""source_url"":""https://www.unsolvedmath.com/problems/OPG-37397""}",2026-07-27T00:30:23.323195Z,2026-07-27T00:55:39.824367Z,2026-07-27T00:54:42.586282Z,3,28,,4,,,,"{""attempt_artifact"":""/home/biostar/work/amra/data/research_open/unsolvedmath_counterexample_campaign/attempts/unsolvedmath-opg-37397/attempt-000028.json"",""candidate_counterexample"":null,""duration_seconds"":4.038742,""evidence_level"":""scoped_null_result"",""execution"":{""bounds"":{""max_n"":5000,""min_n"":3,""ordered_denominators"":true},""candidate"":null,""checked_cases"":4998,""deterministic"":true,""executor_id"":""classical.erdos_straus_exact_scan.v1"",""notes"":[],""outcome"":""no_counterexample_within_bound"",""replayable"":true,""search_template"":""erdos_straus"",""status"":""completed"",""unresolved_cases"":0},""generated_at"":""2026-07-27T00:55:39+00:00"",""independently_verified"":false,""model_contract"":""Find n>2 with no exact positive unit-fraction decomposition of 4/n."",""outcome"":""no_counterexample_within_bound"",""problem_id"":""unsolvedmath-opg-37397"",""schema_version"":""amra.counterexample_first_batch.v2"",""search_config_fingerprint"":""168a3ed0a58baa57945d5d9cc65dd274f2b31a1e7b54cc99f54f98347a50fb3c"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""source_id"":""OPG-37397"",""statement_hash"":""d1ea9d60f2d07319146cae5f2893907fec53fd3cc67fd284faea3d606318be4d"",""title"":""Erdős–Straus conjecture"",""verification_boundary"":""A candidate requires an independent verifier and a source-statement audit. No candidate within the recorded finite scope does not prove the conjecture.""}"
unsolvedmath-opg-439,Graceful Tree Conjecture,UnsolvedMath,graph_theory,first-batch-20,9994.0,G2,completed,2399e37d1a678a40cfa97217195396491cf0b07677d1c775852453d858747002,"{""baseline_claim_kind"":""universal_claim"",""baseline_outcome"":""no_counterexample_within_bound"",""baseline_status"":""bounded_search_no_counterexample"",""batch"":1,""batch_rank"":6,""catalog_record_fingerprint"":""352c30c322088b5d5066d39180f893275677de2957bc542eeeec089c6ec71fd0"",""difficulty_level"":2,""search_config_fingerprint"":""73bde8d4223c2bb027f0d99f33de913d33b80cad449f7cdd8502019737703461"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""selected"":true,""sets"":[{""name"":""OpenGarden"",""set_id"":12}],""source_id"":""OPG-439"",""source_url"":""https://www.unsolvedmath.com/problems/OPG-439""}",2026-07-27T00:30:23.610209Z,2026-07-27T00:54:53.449958Z,2026-07-27T00:47:12.707847Z,2,26,,2,,,,"{""attempt_artifact"":""/home/biostar/work/amra/data/research_open/unsolvedmath_counterexample_campaign/attempts/unsolvedmath-opg-439/attempt-000026.json"",""candidate_counterexample"":null,""duration_seconds"":3.392236,""evidence_level"":""scoped_null_result"",""execution"":{""bounds"":{""max_vertices"":8,""min_vertices"":2},""candidate"":null,""checked_cases"":47,""deterministic"":true,""executor_id"":""classical.graceful_tree_scan.v1"",""notes"":[],""outcome"":""no_counterexample_within_bound"",""replayable"":true,""search_template"":""graceful_tree"",""status"":""completed"",""unresolved_cases"":0},""generated_at"":""2026-07-27T00:48:24+00:00"",""independently_verified"":false,""model_contract"":""Find a finite tree for which every bijective vertex labeling misses an edge difference."",""outcome"":""no_counterexample_within_bound"",""problem_id"":""unsolvedmath-opg-439"",""schema_version"":""amra.counterexample_first_batch.v2"",""search_config_fingerprint"":""73bde8d4223c2bb027f0d99f33de913d33b80cad449f7cdd8502019737703461"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""source_id"":""OPG-439"",""statement_hash"":""2399e37d1a678a40cfa97217195396491cf0b07677d1c775852453d858747002"",""title"":""Graceful Tree Conjecture"",""verification_boundary"":""A candidate requires an independent verifier and a source-statement audit. No candidate within the recorded finite scope does not prove the conjecture.""}"
unsolvedmath-opg-658,Reconstruction conjecture,UnsolvedMath,graph_theory,first-batch-20,9993.0,G2,completed,7ada6585f12767bf3f8af43159dd6c543e4b83c596a41b07cf9236996d54861a,"{""baseline_claim_kind"":""universal_claim"",""baseline_outcome"":""no_counterexample_within_bound"",""baseline_status"":""bounded_search_no_counterexample"",""batch"":1,""batch_rank"":7,""catalog_record_fingerprint"":""55709515067334fbc1f0510e5cdfb241bde7764cb8738eeec2117ddc6556fec5"",""difficulty_level"":3,""search_config_fingerprint"":""c14ba830ad9f173162c7101b8dc53d64a143d1ccfa7a82bb74a9cda1bc0f0e0a"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""selected"":true,""sets"":[{""name"":""OpenGarden"",""set_id"":12}],""source_id"":""OPG-658"",""source_url"":""https://www.unsolvedmath.com/problems/OPG-658""}",2026-07-27T00:30:24.858227Z,2026-07-27T00:56:43.418879Z,2026-07-27T00:48:50.339045Z,3,29,,3,,,,"{""attempt_artifact"":""/home/biostar/work/amra/data/research_open/unsolvedmath_counterexample_campaign/attempts/unsolvedmath-opg-658/attempt-000029.json"",""candidate_counterexample"":null,""duration_seconds"":63.390836,""evidence_level"":""scoped_null_result"",""execution"":{""bounds"":{""max_vertices"":6,""min_vertices"":3},""candidate"":null,""checked_cases"":205,""deterministic"":true,""executor_id"":""classical.graph_reconstruction_scan.v1"",""notes"":[],""outcome"":""no_counterexample_within_bound"",""replayable"":true,""search_template"":""graph_reconstruction"",""status"":""completed"",""unresolved_cases"":0},""generated_at"":""2026-07-27T00:56:43+00:00"",""independently_verified"":false,""model_contract"":""Find two nonisomorphic finite graphs with identical vertex-deleted decks."",""outcome"":""no_counterexample_within_bound"",""problem_id"":""unsolvedmath-opg-658"",""schema_version"":""amra.counterexample_first_batch.v2"",""search_config_fingerprint"":""c14ba830ad9f173162c7101b8dc53d64a143d1ccfa7a82bb74a9cda1bc0f0e0a"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""source_id"":""OPG-658"",""statement_hash"":""7ada6585f12767bf3f8af43159dd6c543e4b83c596a41b07cf9236996d54861a"",""title"":""Reconstruction conjecture"",""verification_boundary"":""A candidate requires an independent verifier and a source-statement audit. No candidate within the recorded finite scope does not prove the conjecture.""}"
unsolvedmath-opg-706,Goldbach conjecture,UnsolvedMath,number_theory,first-batch-20,9992.0,G2,completed,35ccb16383cadda7c25625ee35a3097fc17109c6b15e5a6ae3f26bc6f074e496,"{""baseline_claim_kind"":""universal_claim"",""baseline_outcome"":""no_counterexample_within_bound"",""baseline_status"":""bounded_search_no_counterexample"",""batch"":1,""batch_rank"":8,""catalog_record_fingerprint"":""17e09dc9aebb6ed5479c69ed635109bd271a61974060f6308355aaed07df007c"",""difficulty_level"":3,""search_config_fingerprint"":""4094c297ece180b61e4b14749a1722d400c49bb68e22499cb3d2154c03ff4dfc"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""selected"":true,""sets"":[{""name"":""OpenGarden"",""set_id"":12}],""source_id"":""OPG-706"",""source_url"":""https://www.unsolvedmath.com/problems/OPG-706""}",2026-07-27T00:30:24.948625Z,2026-07-27T00:55:44.468915Z,2026-07-27T00:47:14.002547Z,2,30,,2,,,,"{""attempt_artifact"":""/home/biostar/work/amra/data/research_open/unsolvedmath_counterexample_campaign/attempts/unsolvedmath-opg-706/attempt-000030.json"",""candidate_counterexample"":null,""duration_seconds"":0.48388,""evidence_level"":""scoped_null_result"",""execution"":{""bounds"":{""max_even"":1000000,""min_even"":4},""candidate"":null,""checked_cases"":499999,""deterministic"":true,""executor_id"":""classical.goldbach_exact_scan.v1"",""notes"":[],""outcome"":""no_counterexample_within_bound"",""replayable"":true,""search_template"":""goldbach"",""status"":""completed"",""unresolved_cases"":0},""generated_at"":""2026-07-27T00:55:44+00:00"",""independently_verified"":false,""model_contract"":""Find an even n>2 with no representation as a sum of two primes."",""outcome"":""no_counterexample_within_bound"",""problem_id"":""unsolvedmath-opg-706"",""schema_version"":""amra.counterexample_first_batch.v2"",""search_config_fingerprint"":""4094c297ece180b61e4b14749a1722d400c49bb68e22499cb3d2154c03ff4dfc"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""source_id"":""OPG-706"",""statement_hash"":""35ccb16383cadda7c25625ee35a3097fc17109c6b15e5a6ae3f26bc6f074e496"",""title"":""Goldbach conjecture"",""verification_boundary"":""A candidate requires an independent verifier and a source-statement audit. No candidate within the recorded finite scope does not prove the conjecture.""}"
unsolvedmath-opg-47343,Turán's problem for hypergraphs,UnsolvedMath,graph_theory,first-batch-20,9991.0,G2,completed,71dbb52e64ce88c4211c27180a7d788da6f156eb50ad8323e92e1145bb0f5215,"{""baseline_claim_kind"":""universal_claim"",""baseline_outcome"":null,""baseline_status"":""manual_modeling_required"",""batch"":1,""batch_rank"":9,""catalog_record_fingerprint"":""e7c7f76bd3a336d1bfcc675ecd4de4864df0274e63c575319310a9804ba0eaa7"",""difficulty_level"":1,""search_config_fingerprint"":""0458ce9a2b09fb5792d4970a60ea7b8f51aa09187692e71daef8df93e749ce40"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""selected"":true,""sets"":[{""name"":""OpenGarden"",""set_id"":12}],""source_id"":""OPG-47343"",""source_url"":""https://www.unsolvedmath.com/problems/OPG-47343""}",2026-07-27T00:30:23.946929Z,2026-07-27T00:55:45.362303Z,2026-07-27T00:47:13.026326Z,2,31,,2,,,,"{""attempt_artifact"":""/home/biostar/work/amra/data/research_open/unsolvedmath_counterexample_campaign/attempts/unsolvedmath-opg-47343/attempt-000031.json"",""candidate_counterexample"":null,""duration_seconds"":0.681935,""evidence_level"":""scoped_null_result"",""execution"":{""bounds"":{""max_cases"":0,""max_cases_per_checkpoint"":50000,""vertices"":6},""candidate"":null,""checked_cases"":1048576,""checkpoint"":{""next_case"":1048576},""deterministic"":true,""executor_id"":""first_batch.opg-47343.v1"",""model_contract"":{""conclusion"":""Its edge count is at most the stated extremal bound."",""counterexample_condition"":""The 3-uniform hypergraph has the required number of vertices and no forbidden complete subhypergraph. and NOT (Its edge count is at most the stated extremal bound.)"",""hypothesis"":""The 3-uniform hypergraph has the required number of vertices and no forbidden complete subhypergraph."",""witness"":""A sorted list of triples, together with the checked forbidden subsets and edge count.""},""notes"":[""A finite search without a candidate is not a proof of the original unbounded statement."",""Any candidate must be replayed by an independent implementation before promotion.""],""outcome"":""no_candidate_in_bounded_range"",""replayable"":true,""status"":""bounded_search_no_counterexample""},""generated_at"":""2026-07-27T00:55:45+00:00"",""independently_verified"":false,""model_contract"":{""conclusion"":""Its edge count is at most the stated extremal bound."",""counterexample_condition"":""The 3-uniform hypergraph has the required number of vertices and no forbidden complete subhypergraph. and NOT (Its edge count is at most the stated extremal bound.)"",""hypothesis"":""The 3-uniform hypergraph has the required number of vertices and no forbidden complete subhypergraph."",""witness"":""A sorted list of triples, together with the checked forbidden subsets and edge count.""},""outcome"":""no_candidate_in_bounded_range"",""problem_id"":""unsolvedmath-opg-47343"",""schema_version"":""amra.counterexample_first_batch.v2"",""search_config_fingerprint"":""0458ce9a2b09fb5792d4970a60ea7b8f51aa09187692e71daef8df93e749ce40"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""source_id"":""OPG-47343"",""statement_hash"":""71dbb52e64ce88c4211c27180a7d788da6f156eb50ad8323e92e1145bb0f5215"",""title"":""Turán's problem for hypergraphs"",""verification_boundary"":""A candidate requires an independent verifier and a source-statement audit. No candidate within the recorded finite scope does not prove the conjecture.""}"
unsolvedmath-opg-37305,Extremal problem on the number of tree endomorphism,UnsolvedMath,graph_theory,first-batch-20,9990.0,G2,completed,be5fbcc62b1325200604ffcc4f79cae4615755375bbe617ed2c3fff108529ae9,"{""baseline_claim_kind"":""universal_claim"",""baseline_outcome"":null,""baseline_status"":""manual_modeling_required"",""batch"":1,""batch_rank"":10,""catalog_record_fingerprint"":""0bb5e7774876510419c7fdd3c5564c828d2227768146ab7740a9a50f2f40bfdc"",""difficulty_level"":1,""search_config_fingerprint"":""4a907ee1ca26823670de23bbdb01ff036b39512ccf4ecea049ead51b5d6a635e"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""selected"":true,""sets"":[{""name"":""OpenGarden"",""set_id"":12}],""source_id"":""OPG-37305"",""source_url"":""https://www.unsolvedmath.com/problems/OPG-37305""}",2026-07-27T00:30:23.167000Z,2026-07-27T00:55:49.798244Z,2026-07-27T00:47:12.299020Z,2,32,,2,,,,"{""attempt_artifact"":""/home/biostar/work/amra/data/research_open/unsolvedmath_counterexample_campaign/attempts/unsolvedmath-opg-37305/attempt-000032.json"",""candidate_counterexample"":null,""duration_seconds"":4.287789,""evidence_level"":""scoped_null_result"",""execution"":{""bounds"":{""max_cases"":0,""max_cases_per_checkpoint"":50000,""max_vertices"":8},""candidate"":null,""checked_cases"":47,""checkpoint"":{""next_case"":47},""deterministic"":true,""executor_id"":""first_batch.opg-37305.v1"",""model_contract"":{""conclusion"":""hom(P_n,P_n) <= hom(T,T) <= hom(K_{1,n-1},K_{1,n-1})."",""counterexample_condition"":""T is a finite tree on n vertices. and NOT (hom(P_n,P_n) <= hom(T,T) <= hom(K_{1,n-1},K_{1,n-1}).)"",""hypothesis"":""T is a finite tree on n vertices."",""witness"":""A canonical tree edge list and exact dynamic-programming endomorphism counts.""},""notes"":[""A finite search without a candidate is not a proof of the original unbounded statement."",""Any candidate must be replayed by an independent implementation before promotion.""],""outcome"":""no_candidate_in_bounded_range"",""replayable"":true,""status"":""bounded_search_no_counterexample""},""generated_at"":""2026-07-27T00:55:49+00:00"",""independently_verified"":false,""model_contract"":{""conclusion"":""hom(P_n,P_n) <= hom(T,T) <= hom(K_{1,n-1},K_{1,n-1})."",""counterexample_condition"":""T is a finite tree on n vertices. and NOT (hom(P_n,P_n) <= hom(T,T) <= hom(K_{1,n-1},K_{1,n-1}).)"",""hypothesis"":""T is a finite tree on n vertices."",""witness"":""A canonical tree edge list and exact dynamic-programming endomorphism counts.""},""outcome"":""no_candidate_in_bounded_range"",""problem_id"":""unsolvedmath-opg-37305"",""schema_version"":""amra.counterexample_first_batch.v2"",""search_config_fingerprint"":""4a907ee1ca26823670de23bbdb01ff036b39512ccf4ecea049ead51b5d6a635e"",""search_engine_version"":""amra.counterexample_first_batch.engine.v2"",""search_generation"":2,""source_id"":""OPG-37305"",""statement_hash"":""be5fbcc62b1325200604ffcc4f79cae4615755375bbe617ed2c3fff108529ae9"",""title"":""Extremal problem on the number of tree endomorphism"",""verification_boundary"":""A candidate requires an independent verifier and a source-statement audit. No candidate within the recorded finite scope does not prove the conjecture.""}"
